R/V POLARSTERN             WHP-ID S04/SR04                      20000229WHPSIOSCD                                                       
SHIP/CRS       WOCE               CAST         UTC           POSITION                UNC   COR  ABOVE WIRE   MAX NO.  OF              
EXPOCODE       SECT STNNBR CASTNO TYPE DATE   TIME CODE LATITUDE   LONGITUDE   NAV DEPTH DEPTH BOTTOM  OUT PRESS BOTTLES PARAMETERS COMMENTS            
--------------------------------------------------------------------------------------------------------------------------------------------
06AQANTXIII_4  S04      74      2  CTD 042696 1304   BE 70 18.55 S  13 44.20 W UNK  4320                    4382                    CTD 1347
06AQANTXIII_4  S04      75      1  CTD 042696 2002   BE 69 59.25 S  14 43.81 W UNK  4716                     502                    CTD 1347
06AQANTXIII_4  S04      75      4  CTD 042796 2345   BE 69 57.10 S  14 42.43 W UNK  4720                    4794                    CTD 1347
06AQANTXIII_4  S04      76      1  CTD 042796 0628   BE 69 39.45 S  15 39.39 W UNK  4738                    4820                    CTD 1347
06AQANTXIII_4  S04      77      1  CTD 042796 1414   BE 69 14.70 S  16 48.80 W UNK  4737                    4810                    CTD 1347
06AQANTXIII_4  S04      78      1  CTD 042796 2217   BE 68 50.22 S  17 54.62 W UNK  4768                    4842                    CTD 1347
06AQANTXIII_4  S04      79      1  CTD 042896 0550   BE 68 25.08 S  18 55.81 W UNK  4796                     510                    CTD 1347
06AQANTXIII_4  S04      79      3  CTD 042896 0758   BE 68 25.32 S  18 56.08 W UNK  4799                    4868                    CTD 1347
06AQANTXIII_4  S04      80      1  CTD 042896 1541   BE 68 00.02 S  19 58.88 W UNK  4884                    4966                    CTD 1347
06AQANTXIII_4  S04      81      1  CTD 042996 0015   BE 67 41.51 S  21 38.65 W UNK  4894                    4976                    CTD 1347
06AQANTXIII_4  S04      82      1  CTD 042996 0925   BE 67 23.17 S  23 17.22 W UNK  4865                    4940                    CTD 1347
06AQANTXIII_4  S04      83      1  CTD 042996 1809   BE 67 03.54 S  24 52.14 W UNK  4834                    4918                    CTD 1347
06AQANTXIII_4  S04      83      2  CTD 042996 2209   BE 67 03.38 S  24 57.35 W UNK  4830                    4904                    CTD 1360
06AQANTXIII_4  S04      84      1  CTD 043096 0829   BE 66 37.30 S  27 07.57 W UNK  4850                    4918                    CTD 1347
06AQANTXIII_4  S04      85      1  CTD 043096 2135   BE 66 21.93 S  29 29.90 W UNK  4792                    4862                    CTD 1347
06AQANTXIII_4  S04      86      1  CTD 050196 1058   BE 66 07.84 S  31 51.36 W UNK  4769                     500                    CTD 1347
06AQANTXIII_4  S04      86      3  CTD 050196 1316   BE 66 08.43 S  31 51.49 W UNK  4770                    4846                    CTD 1347
06AQANTXIII_4  S04      87      1  CTD 050196 2313   BE 65 57.79 S  33 19.91 W UNK  4775                    4848                    CTD 1347
06AQANTXIII_4  S04      88      1  CTD 050296 0915   BE 65 48.66 S  34 57.64 W UNK  4747                    4802                    CTD 1347
06AQANTXIII_4  S04      89      1  CTD 050296 1856   BE 65 38.33 S  36 29.88 W UNK  4753                    4816                    CTD 1347
06AQANTXIII_4  S04      90      1  CTD 050396 0630   BE 65 27.33 S  38 01.66 W UNK  4705                     510                    CTD 1347
06AQANTXIII_4  S04      90      4  CTD 050396 0859   BE 65 26.79 S  38 03.54 W UNK  4712                    4778                    CTD 1347
06AQANTXIII_4  S04      91      1  CTD 050396 1852   BE 65 11.84 S  39 32.98 W UNK  4778                    4822                    CTD 1347
06AQANTXIII_4  S04      92      1  CTD 050496 0427   BE 65 00.74 S  41 03.70 W UNK  4745                    4810                    CTD 1347
06AQANTXIII_4  S04      93      1  CTD 050496 1408   BE 64 48.40 S  42 28.50 W UNK  4690                    4758                    CTD 1347
06AQANTXIII_4  S04      94      1  CTD 050596 0427   BE 64 37.43 S  44 10.07 W UNK  4598                     500                    CTD 1347
06AQANTXIII_4  S04      94      3  CTD 050596 0641   BE 64 36.62 S  44 08.40 W UNK  4611                    4674                    CTD 1347
06AQANTXIII_4  S04      95      1  CTD 050596 1612   BE 64 25.40 S  45 49.60 W UNK  4428                    4484                    CTD 1347
06AQANTXIII_4  S04      96      1  CTD 050696 0224   BE 64 11.52 S  47 29.73 W UNK  4177                    4234                    CTD 1347
06AQANTXIII_4  S04      97      1  CTD 050696 1215   BE 63 56.97 S  49 07.67 W UNK  3521                    3550                    CTD 1347
06AQANTXIII_4  S04      98      1  CTD 050696 2203   BE 63 50.86 S  50 02.39 W UNK  2861                    2884                    CTD 1347
06AQANTXIII_4  S04      99      1  CTD 050796 1112   BE 63 44.11 S  50 50.61 W UNK  2505                     600                    CTD 1347
06AQANTXIII_4  S04      99      4  CTD 050796 1400   BE 63 43.75 S  50 50.63 W UNK  2507                    2518                    CTD 1347
06AQANTXIII_4  S04     100      1  CTD 050896 0423   BE 63 37.70 S  51 30.97 W UNK  2031                    2040                    CTD 1347
06AQANTXIII_4  S04     101      1  CTD 050896 1351   BE 63 32.87 S  52 06.08 W UNK   988                     986                    CTD 1347
06AQANTXIII_4  S04     102      2  CTD 050896 2323   BE 63 19.57 S  52 47.91 W UNK   450                     444                    CTD 1347
06AQANTXIII_4  S04     103      1  CTD 050996 1519   BE 62 52.92 S  53 37.44 W UNK   294                     284                    CTD 1347
